key,data_type,n,Ham,genscore_data
2qubits_$H_{is}$_genscore_0404_2137_25,genscore,2,$H_{is}$,"[0.025020922643849128, 0.136801353006715, 0.1570940440699316, 0.20957105849285776, 0.003999794962304358, 0.0030096753377530866, 1000, 1.570940440699316e-08, 2.0957105849285774e-08]"
2qubits_$H_{is}$_genscore_0404_2144_25,genscore,2,$H_{is}$,"[0.025037327782561507, 0.13518025877648443, 0.15841873120318292, 0.21026770266483905, 0.004076729594878577, 0.0030630248100909263, 50000, 1.584187312031829e-08, 2.1026770266483904e-08]"
3qubits_$H_{is}$_genscore_0404_2247_25,genscore,3,$H_{is}$,"[0.09096413058878695, 0.09609630123285873, 0.10624560198848838, 0.11273330690980712, 0.00020898310169586453, 0.00022495861415852046, 50000, 1.0624560198848837e-08, 1.1273330690980711e-08]"
4qubits_$H_{is}$_genscore_0405_0220_25,genscore,4,$H_{is}$,"[0.05447776305074061, 0.05512047515401071, 0.05780027071665928, 0.05866096496452511, 1.4259983046662341e-05, 1.4963672858963275e-05, 50000, 5.780027071665928e-09, 5.8660964964525106e-09]"
5qubits_$H_{is}$_genscore_0405_1356_25,genscore,5,$H_{is}$,"[0.029423122858361968, 0.029536948304938363, 0.030234865025797746, 0.030351065862086406, 1.1259616153917484e-06, 1.132490751687736e-06, 50000, 3.0234865025797745e-09, 3.0351065862086406e-09]"
6qubits_$H_{is}$_genscore_0406_1209_25,genscore,6,$H_{is}$,"[0.015201175245696192, 0.015215681319286927, 0.01537666339816525, 0.015391483095033414, 7.481584260697338e-08, 7.493076722829077e-08, 5000, 1.5376663398165249e-09, 1.5391483095033414e-09]"
4qubits_$H_{sb}$_genscore_0408_0257_25,genscore,4,$H_{sb}$,"[0.05451259815165351, 0.05538413296248876, 0.058255031747425745, 0.05914546999328935, 1.5964984103234973e-05, 1.625213652055261e-05, 50000, 5.825503174742574e-09, 5.914546999328935e-09]"
3qubits_$H_{sb}$_genscore_0413_0102_25,genscore,3,$H_{sb}$,"[0.0895604902862704, 0.09579461909389587, 0.10647696655128305, 0.11311138283894241, 0.00020276468142696967, 0.000212626095951993, 50000, 1.0647696655128305e-08, 1.1311138283894241e-08]"
2qubits_$H_{sb}$_genscore_0413_1535_25,genscore,2,$H_{sb}$,"[0.024997510476103595, 0.13507534877069424, 0.15826341913824518, 0.21018359109611073, 0.004074371170591502, 0.0030673485932271667, 50000, 1.5826341913824518e-08, 2.101835910961107e-08]"
